,rank,name,original_price,sale_price
0,1,(유니버스클럽 전용 쿠폰적용가 7천원) 메가박스 일반예매권 2D주중/주말,N/A,"15,000"
1,2,베베숲 프라임 아기물티슈 고평량 물티슈 프라임 70평량 70매 캡 20팩,"28,420","19,900"
2,3,(신선집중) 농협안심한우 1등급 등심 구이용1KG (500g+500g) (와사비+솔트제공),"53,890","38,800"
3,4,(신선집중) 22%+10%/ 서귀포인정 당도선별 노지감귤 4.5kg 로얄소과 (2S-M) /달콤새콤한/출고일에 맞춰 출고,"19,330","11,840"
4,5,(유니버스클럽 전용 쿠폰적용가 6천원) 메가박스 일반예매권 2D-주중/주말,N/A,"15,000"
5,6,(신선집중) 10%+10% / 한상궁김치 겉절이 2kg /출고당일생산,"13,800","9,900"
6,7,20% 나이키 양말 3+3 총 6켤레 스우시 에브리데이 쿠션 크루삭스 장목 스포츠양말 SX7664-100,"70,420","16,910"
7,8,갤럭시북2 NT550XEZ-A58A 최종42만 하루특가 가성비노트북 인강용 교육용 가정용 저렴한노트북,"587,160","461,450"
8,9,(신선집중) 해남절임배추 20kg 김장 절임 배추 김치,"39,900","27,930"
9,10,(대전신세계)예일키즈 가을 후드 상하복 5종 택1 (정상가70900),"39,900","29,850"
10,11,온더바디 코튼풋 발을씻자 풋샴푸 레몬 385ml 2개+리필 500ml 2개,"27,900","15,900"
11,12,삼립호빵X사무엘스몰즈 신상 호찜이 실속 패키지 (호찜이+6입 호빵 2봉 택),"22,400","17,920"
12,13,스타벅스 캡슐커피 15종 10캡슐 x 5박스 골라담기 by 네스프레소,"33,280","29,960"
13,14,레노버 V15 4세대 인텔 13세대 i5 13420H 8GB 128GB DOS 혜택가39만+무상 더블업 혜택(램 동봉발송),"621,140","429,030"
14,15,BEST 생리대 (역대특가~71%+샘플키트증정)NEW러브플러스/블랙 외 입는생리대 순한코튼 전라인+단독굿즈,"21,880","13,950"
15,16,스파클생수 500ml 100병 (도착보장/무라벨),"24,900","15,940"
16,17,(쌀가게)(신세계강남점)주문폭증/순차출고2024년산 수향미 (상등급) 10kg,"41,000","32,480"
17,18,(20%+10%)게스 본사 빅스마일 특가~패딩/맨투맨/티셔츠/데님 외,"186,000","39,200"
18,19,오리온 통크 8팩+8팩 한정판 + 사은품,"20,900","11,090"
19,20,버블트리 10%+15% 주니어 여아 가을 신상 업뎃 상하세트 스쿨룩 티셔츠 맨투맨 팬츠 원피스 상하복,"49,600","11,180"
