,rank,name,original_price,sale_price
0,1,(신선집중) 10% / 2024년 햅쌀 농부의아침 쌀10kg 백미 상등급 밥맛 좋은 쌀,"27,700","21,170"
1,2,(행사상품)24년산_믿고먹는 농협안심쌀 20KG 포,"49,900","42,420"
2,3,(신선집중) 10%+10% / 갓구운 아몬드 1kg(500g+500g) 24년햇상품,"17,600","11,850"
3,4,(쌀가게)(신세계강남점)주문폭증/순차출고2024년산 수향미 (상등급) 10kg,"41,000","32,480"
4,5,부여군 24년 햇밤 칼집밤 뜨래밤 군밤용 특품(19회 부여군알밤대축제) 원산지:국산 2kg,"27,900","23,900"
5,6,(신선집중) 밥맛좋은 경기미 백미 쌀10kg 24년산 햅쌀/특등급/당일도정,"35,500","27,900"
6,7,24년산당진해나루쌀 삼광10kg(특등급),"54,900","49,410"
7,8,(신선집중) 10% / 밥맛좋은 경기미 10kg+10kg 24년산/특등급/당일도정,"63,300","51,210"
8,9,(행사상품)올해첫수확한 고흥햅쌀 10KG 포,"25,900","22,800"
9,10,(농협양곡/특등급/영호진미) 안동 양반쌀10kg 2024년 햅쌀,"28,900","24,900"
10,11,이맛쌀 20kg,"51,900","46,710"
11,12,(신선집중) 10% / 안중농협 슈퍼오닝 고시히카리 10kg /24년산 햅쌀/특등급/고시히카리,"41,000","32,900"
12,13,임금님표 이천쌀 10kg / 2024년 햅쌀 / 상등급 / 단일품종 / 지리적표시 특산품,"41,900","37,710"
13,14,(신선집중) 농협 더쌀집 삼광미 10kg (특등급/단일품종) 24년산 햅쌀(농협 GAP인증),"35,200","27,600"
14,15,새청무 쌀20kg(10+10) 특등급 당일도정 24년산 햅쌀/ 산지직송/ 단일품종,"53,300","47,970"
15,16,삼원농산 찹쌀 20kg (10kg 2개) - 2024년산 햅쌀,"74,200","66,780"
16,17,(신선집중) 15%+10% / 호두 1/4태 1kg,"11,700","8,400"
17,18,(전단상품)농협프리미엄 강화섬쌀 10KG,"27,900","24,560"
18,19,(신선집중) 10%+15% / 볶음땅콩 3.75kg 알큰사이즈 24년 햇,"31,000","19,720"
19,20,(신선집중) 2024년 햅쌀 수향미 10kg 골든퀸3호 상등급 한정수량,"37,600","33,600"
20,21,(신선집중) 10% / 2024년 햅쌀 신동진쌀 20kg 섬진강쌀 상등급 백미,"61,000","49,410"
21,22,(신선집중) 10% / 2024년 햅쌀 농부의아침 현미10kg 현미쌀,"22,900","19,470"
22,23,이맛쌀 10kg,"27,900","23,720"
23,24,2024년산 햅쌀 어사명품 삼광쌀 10kg/특등급,"27,900","25,110"
24,25,(신선집중) 10% / 2024년 햅쌀 신동진쌀 10kg 섬진강쌀 상등급 백미,"32,800","25,500"
25,26,국산 찰보리 10kg (5kgX2봉) / 2024년 햇곡,"34,800","30,800"
26,27,(신선집중) 10% / 푸드앤픽 새청무 쌀 20kg 단일품종 쌀20키로 24년산 특등급,"56,600","45,810"
27,28,(신선집중) 10% / 2024년 햅쌀 보성다향미 쌀20kg 상등급 백미 새청무쌀 당일도정 쌀유목민정착쌀,"58,800","47,610"
28,29,하루견과넛츠시그니처 23gX100봉,"72,000","57,600"
29,30,오트리 하루견과 고메 10입 X 3박스,"27,900","21,510"
30,31,이맛쌀 10kg,"27,900","23,720"
31,32,2024년 햅쌀 경기미 찰진쌀 10kg 상등급 가장 맛있고 찰진쌀,"31,500","27,500"
32,33,(신선집중) 15%+10% / 하루 한줌 견과 파란하루N 50봉 실속형 고급견과구성,"31,900","24,710"
33,34,수향미 10kg 골든퀸 3호 구수한쌀 2024년산 햅쌀 상등급,"36,900","32,900"
34,35,(출고당일도정) 2024년산 햅쌀 당진해나루쌀 삼광미 특등급20kg (농협/당진해나루쌀조합공동사업법인),"58,100","52,290"
35,36,햇 호박씨 2kg(1kg+1kg) 견과류 (A급)정품 무료배송,"19,800","16,830"
36,37,24년산 전남 장흥 미풍라이스센터 상등급 햅쌀 백미 새청무 단일미 20kg 상등급,"61,000","43,920"
37,38,2024년 햅쌀 농부의아침 찹쌀10kg 찰기가득,"40,900","36,810"
38,39,유가농협 /유가찹쌀 10kg /2024년산 햅쌀/단일품종 다복찰/ 달성군 특산품,"41,000","35,000"
39,40,(신선집중) 국민견과 오븐에 두 번 구워 바삭한 네이쳐 견과 100봉 실속형,"47,900","38,320"
40,41,다온농산 수입 중국산 생참깨 -6Kg- 품질 최상 특참깨,"51,800","46,620"
41,42,지리산메뚜기쌀 백미20kg/쌀20kg /상등급/2024년 남원햅쌀출시/더조은쌀/농협잡곡/남원직송,"51,900","46,710"
42,43,아산 삼광쌀 (특등급) 10kg+10kg 24년산 햅쌀 박스포장,"53,500","48,150"
43,44,햅쌀 강화섬쌀 20kg 상등급 강화도 특산품 쌀 24년 햅쌀,"54,900","49,410"
